data,price,ClusterLabels,year,month,plotDate
2022-02-15,16800,0,2022,2,2
2022-02-15,6500,1,2022,2,2
2022-02-15,7000,1,2022,2,2
2022-02-15,6900,1,2022,2,2
2022-02-15,12000,1,2022,2,2
2022-02-15,13450,0,2022,2,2
2022-02-15,14500,0,2022,2,2
2022-02-15,8300,1,2022,2,2
2022-02-15,11900,1,2022,2,2
2022-02-15,17900,0,2022,2,2
2022-02-15,8500,1,2022,2,2
2022-02-15,8900,1,2022,2,2
2022-02-15,12500,0,2022,2,2
2022-02-15,8000,1,2022,2,2
2022-02-15,14850,0,2022,2,2
2022-02-15,16500,0,2022,2,2
2022-02-15,7950,1,2022,2,2
2022-02-15,7990,0,2022,2,2
2022-02-15,10000,1,2022,2,2
2022-02-15,8800,1,2022,2,2
2022-02-15,7490,1,2022,2,2
2022-02-15,9500,1,2022,2,2
2022-02-15,7800,1,2022,2,2
2022-02-15,19500,0,2022,2,2
2022-02-15,15200,0,2022,2,2
2022-02-15,8200,1,2022,2,2
2022-02-15,7900,0,2022,2,2
2022-02-15,8500,1,2022,2,2
2022-02-15,12800,1,2022,2,2
2022-02-15,4500,1,2022,2,2
2022-02-15,9700,1,2022,2,2
2022-02-15,10200,1,2022,2,2
2022-02-15,9500,1,2022,2,2
2022-02-15,12900,0,2022,2,2
2022-02-15,8200,0,2022,2,2
2022-02-15,5990,1,2022,2,2
2022-02-15,10950,0,2022,2,2
2022-02-15,11800,1,2022,2,2
2022-02-15,5500,1,2022,2,2
2022-02-15,6600,1,2022,2,2
2022-02-15,8000,1,2022,2,2
2022-02-15,21990,0,2022,2,2
2022-02-15,15000,0,2022,2,2
2022-02-15,8200,1,2022,2,2
2022-02-15,18900,0,2022,2,2
2022-02-15,9400,0,2022,2,2
2022-02-15,6900,0,2022,2,2
2022-02-15,18400,0,2022,2,2
2022-02-15,5900,1,2022,2,2
2022-02-15,11200,0,2022,2,2
2022-02-15,17500,1,2022,2,2
2022-02-15,14300,1,2022,2,2
2022-02-15,10900,1,2022,2,2
2022-02-15,10500,1,2022,2,2
2022-02-15,8900,0,2022,2,2
2022-02-15,6200,1,2022,2,2
2022-02-15,18900,0,2022,2,2
2022-02-15,15000,0,2022,2,2
2022-02-15,4500,1,2022,2,2
2022-02-15,12800,0,2022,2,2
2022-02-15,8800,1,2022,2,2
2022-02-15,6900,1,2022,2,2
2022-02-15,16500,0,2022,2,2
2022-02-15,6500,0,2022,2,2
2022-02-15,10900,0,2022,2,2
2022-02-15,8790,1,2022,2,2
2022-02-15,6700,0,2022,2,2
2022-02-15,9800,1,2022,2,2
2022-02-15,1000,1,2022,2,2
